
2024/08/23 (00:16:32) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/23 (00:16:32) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/23 (00:16:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (00:16:32) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (00:16:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (00:16:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (00:16:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (00:16:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (00:16:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (00:16:36) | ===> btop++ v.1.3.0
2024/08/23 (00:16:36) | INFO: Logger set to INFO
2024/08/23 (00:16:36) | INFO: Running on /dev/pts/0
2024/08/23 (00:16:36) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/23 (00:16:36) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/23 (00:16:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (00:16:36) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (00:16:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (00:16:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (00:16:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (00:16:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (00:16:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (00:16:44) | ===> btop++ v.1.3.0
2024/08/23 (00:16:44) | INFO: Logger set to INFO
2024/08/23 (00:16:44) | INFO: Running on /dev/pts/0
2024/08/23 (00:16:44) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/23 (00:16:44) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
